Company Name,Date,Next Day Return,Next Week Return,Next Month Return
Adani Power Ltd.,40099,0.000854091,-0.005592753,-0.034459432
Adani Power Ltd.,40508,0.004146437,0.016513854,-0.0089236
Adani Power Ltd.,41753,0,-0.022839737,0.102774947
Adani Power Ltd.,41927,-0.010673651,0.016260249,0.038415701
Apollo Tyres Ltd.,40099,0.003615394,0.057708258,0.053315325
Apollo Tyres Ltd.,41753,-0.010982459,-0.034499458,0.04408977
Apollo Tyres Ltd.,41927,-0.022651445,0.002799992,0.031905125
Amara Raja Batteries Ltd.,40099,0.008046784,0.022165617,0.025381058
Amara Raja Batteries Ltd.,41029,-0.00692621,-0.023764404,0.020914784
Amara Raja Batteries Ltd.,41753,-0.000588716,0.004098912,-0.012589134
Amara Raja Batteries Ltd.,41927,0.005157653,0.02087815,0.08060976
Apollo Hospitals Enterprise Ltd.,40099,-0.000317718,0.006618568,-0.01375242
Apollo Hospitals Enterprise Ltd.,41753,0.003471624,0.004736006,0.014150949
Apollo Hospitals Enterprise Ltd.,41927,-0.018486044,-0.017263914,0.012615135
Balkrishna Industries Ltd.,40099,0.026318823,0.077270909,0.064707982
Balkrishna Industries Ltd.,41753,-0.000729899,0.016659331,0.054125942
Balkrishna Industries Ltd.,41921,-0.019625765,-0.028369996,0.021479324
Balkrishna Industries Ltd.,41927,-0.0109662,0.002107876,-0.06160021
Bank of India,40099,0.028424785,0.04507541,-0.036407458
Bank of India,41753,0.014171057,0.003725474,0.142559006
Bank of India,41927,-0.00866816,0.020010228,0.052895662
Bata India Ltd.,40099,0.000484965,0.006143232,0.006023598
Bata India Ltd.,41753,0.003063366,-0.010722359,0.02646777
Bata India Ltd.,41927,-0.018723985,-0.011363604,0.016563839
Berger Paints India Ltd.,40057,0.036039995,-0.002334029,-0.041125912
Berger Paints India Ltd.,40071,0.00529074,-0.004636423,-0.018483147
Berger Paints India Ltd.,40099,0.008483024,-0.0120849,-0.019033137
Berger Paints India Ltd.,41753,8.87035E-05,-0.003822701,0.01230349
Berger Paints India Ltd.,41927,-0.01014319,-0.037294918,-0.020053742
Bharat Electronics Ltd.,39933,0.005885002,0.060469081,0.327291318
Bharat Electronics Ltd.,40099,0.000226429,-0.010194732,0.050063929
Bharat Electronics Ltd.,41753,0.005948729,-0.02007677,0.277601445
Bharat Electronics Ltd.,41927,-0.012223717,-0.00054877,0.135371263
Bharat Forge Ltd.,39779,-0.497131383,-0.528399345,-0.547332185
Bharat Forge Ltd.,39933,-0.488431388,-0.441960769,-0.249803906
Bharat Forge Ltd.,40099,-0.473414913,-0.479170484,-0.489859276
Bharat Forge Ltd.,41753,-0.026619951,-0.047752509,0.127729158
Bharat Forge Ltd.,41927,-0.042265303,-0.027253353,0.161265416
Canara Bank,39779,0.00349389,0.024548787,0.119737762
Canara Bank,39933,0.049240345,0.170199283,0.461611921
Canara Bank,40099,0.023518117,0.056218621,0.078904018
Canara Bank,41753,0.02589469,0.020360182,0.481514452
Canara Bank,41927,-0.020556866,0.029647133,0.083278672
Castrol India Ltd.,39307,-0.5,-0.309478942,-0.322086106
Castrol India Ltd.,39933,0.003675294,-0.031912941,-0.013381153
Castrol India Ltd.,39951,-0.057471264,-0.019397701,-0.02528731
Castrol India Ltd.,40099,0.008005866,0.037845795,-0.01810332
Castrol India Ltd.,41698,0,0,0.034758427
Castrol India Ltd.,41701,0,0,0.085158147
Castrol India Ltd.,41702,0,0,0.080813344
Castrol India Ltd.,41703,0,0,0.063781631
Castrol India Ltd.,41704,0,0,0.070733316
Castrol India Ltd.,41705,0,0,0.059784433
Castrol India Ltd.,41708,0,0.040667298,0.071949882
Castrol India Ltd.,41709,0,0.027980492,0.056829945
Castrol India Ltd.,41710,0,0.011122634,0.056829945
Castrol India Ltd.,41711,0.040667298,0.00590887,0.057351405
Castrol India Ltd.,41753,-0.015880854,-0.020347375,-0.030603805
Castrol India Ltd.,41927,-0.023361269,-0.04079502,0.039748897
Cholamandalam Investment and Finance Company Ltd.,39234,0.050318332,0.05202671,0.218434492
Cholamandalam Investment and Finance Company Ltd.,39237,0.036670154,0.026911171,0.187712591
Cholamandalam Investment and Finance Company Ltd.,39372,-0.014610358,-0.026623345,0.312987023
Cholamandalam Investment and Finance Company Ltd.,39380,-0.022365992,0.147399646,0.028833171
